key,en
Properties,Properties
Movement,Movement
Wiggle,Wiggle
Misc,Misc
Experimental,Experimental
Settings,Settings
BG Color,BG Color
Mode,Mode
Files,Files
Bounce,Bounce
Window,Window
About,About
